Id	Type	Time	Length	Hex	Ascii	
23	W	0.000000	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000052	1	aa	.	
23	W	0.280546	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000052	1	55	U	
23	W	0.140430	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000055	1	aa	.	
23	W	1.186714	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	1.842543	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000053	1	aa	.	
23	W	0.140135	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	1.982757	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000056	1	aa	.	
23	W	0.187057	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.048701	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000031	1	aa	.	
23	W	0.512937	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000054	1	55	U	
23	W	1.437120	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000054	1	aa	.	
23	W	0.171123	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000056	1	55	U	
23	W	0.187825	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000058	1	aa	.	
23	W	0.202093	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	1.312791	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000052	1	aa	.	
23	W	0.139448	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.109237	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000049	1	aa	.	
23	W	0.076591	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000015	1	55	U	
23	W	1.516255	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000056	1	aa	.	
23	W	0.140090	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000054	1	55	U	
23	W	0.091610	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000034	1	aa	.	
23	W	0.142261	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.109556	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000055	1	aa	.	
23	W	0.138141	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000031	1	55	U	
23	W	0.032157	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000018	1	aa	.	
23	W	0.141260	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.107337	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000031	1	aa	.	
23	W	1.078091	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000026	1	55	U	
23	W	1.078693	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000051	1	aa	.	
23	W	0.138696	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000038	1	55	U	
23	W	6.006987	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000055	1	aa	.	
23	W	0.076642	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000018	1	55	U	
23	W	0.516100	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000052	1	aa	.	
23	W	0.140249	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000054	1	55	U	
23	W	1.138663	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000031	1	aa	.	
23	W	0.188744	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.374559	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000057	1	aa	.	
23	W	0.233749	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000056	1	55	U	
23	W	0.045463	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000017	1	aa	.	
23	W	1.094978	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.046104	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000016	1	aa	.	
23	W	0.562150	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.092179	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000015	1	aa	.	
23	W	0.141653	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000054	1	55	U	
23	W	1.138576	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000028	1	aa	.	
23	W	0.143235	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000052	1	55	U	
23	W	22.854445	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000053	1	aa	.	
23	W	0.899852	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000053	1	55	U	
23	W	1.239868	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000053	1	aa	.	
23	W	0.084928	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000029	1	55	U	
23	W	0.046909	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000015	1	aa	.	
23	W	0.329537	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000054	1	55	U	
23	W	0.045174	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000020	1	aa	.	
23	W	1.375614	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000055	1	55	U	
23	W	0.107699	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000030	1	aa	.	
23	W	0.077862	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000033	1	55	U	
23	W	0.153106	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000051	1	aa	.	
23	W	0.039770	2	00 55	.U	
22	Out  (USB URB Function: 27)	0.000030	1	55	U	
23	W	0.077922	2	00 aa	..	
22	Out  (USB URB Function: 27)	0.000031	1	aa	.	
23	W	0.121848	2	00 55	.U	
